;title;author;filename;pubyear;genre;sources
0;Der tolle Invalide auf dem Fort Ratonneau;Achim von Arnim;arnima_invalide_1818;1818;          Novelle;https://www.deutschestextarchiv.de/book/show/arnima_invalide_1818
1;Brigitta;Adalbert Stifter;stifter_brigitta_1910;1910;          Novelle;https://www.deutschestextarchiv.de/book/show/stifter_brigitta_1910
2;Bunte Steine;Adalbert Stifter;stifter_steine01_1853;1853;          Novelle;https://www.deutschestextarchiv.de/book/show/stifter_steine01_1853
3;Bunte Steine;Adalbert Stifter;stifter_steine02_1853;1853;          Novelle;https://www.deutschestextarchiv.de/book/show/stifter_steine02_1853
4;Der Nachsommer;Adalbert Stifter;stifter_nachsommer01_1857;1857;          Roman;https://www.deutschestextarchiv.de/book/show/stifter_nachsommer01_1857
5;Der Nachsommer;Adalbert Stifter;stifter_nachsommer02_1857;1857;          Roman;https://www.deutschestextarchiv.de/book/show/stifter_nachsommer02_1857
6;Der Nachsommer;Adalbert Stifter;stifter_nachsommer03_1857;1857;          Roman;https://www.deutschestextarchiv.de/book/show/stifter_nachsommer03_1857
7;MERVEILLEUSE HISTOIRE DE PIERRE SCHLÉMIHL;Adelbert von Chamisso;19_ZZ_2786;1838;          Prosa;https://www.deutschestextarchiv.de/book/show/19_ZZ_2786
8;Peter Schlemihl's wundersame Geschichte;Adelbert von Chamisso;chamisso_schlemihl_1814;1814;          Prosa;https://www.deutschestextarchiv.de/book/show/chamisso_schlemihl_1814
9;Peter Schlemihl’s wundersame Geschichte;Adelbert von Chamisso;19_ZZ_2754;1827;          Prosa;https://www.deutschestextarchiv.de/book/show/19_ZZ_2754
10;Peter Schlemihl’s wundersame Geschichte;Adelbert von Chamisso;Yw_7531_1;1839;          Prosa;https://www.deutschestextarchiv.de/book/show/Yw_7531_1
11;Peter Schlemihl’s wundersame Geschichte;Adelbert von Chamisso;19_ZZ_2755;1835;          Prosa;https://www.deutschestextarchiv.de/book/show/19_ZZ_2755
12;Peter Schlemihl’s wundersame Geschichte;Adelbert von Chamisso;19_ZZ_2749;1836;          Prosa;https://www.deutschestextarchiv.de/book/show/19_ZZ_2749
13;Peter Schlemihl's wundersame Geschichte;Adelbert von Chamisso;chamisso_schlemihl_1910;1910;          Novelle;https://www.deutschestextarchiv.de/book/show/chamisso_schlemihl_1910
14;Irrwisch-Fritze;Adelheid Reinbold;berthold_irrwischfritze_1910;1910;          Novelle;https://www.deutschestextarchiv.de/book/show/berthold_irrwischfritze_1910
15;Der Flüchtling;Adolf Pichler;pichler_fluechtling_1910;1910;          Novelle;https://www.deutschestextarchiv.de/book/show/pichler_fluechtling_1910
16;Die katholische Mühle;Adolf Widmann;widmann_muehle_1910;1910;          Novelle;https://www.deutschestextarchiv.de/book/show/widmann_muehle_1910
17;Scholastika;Alexander von Ungern-Sternberg;ungern_scholastika_1910;1910;          Novelle;https://www.deutschestextarchiv.de/book/show/ungern_scholastika_1910
18;Der Müller vom Höft;Alfred Meißner;meissner_hoeft_1910;1910;          Novelle;https://www.deutschestextarchiv.de/book/show/meissner_hoeft_1910
19;Die Prinzessin von Portugal;Alfred Meißner;meissner_prinzessin_1882;1882;          Novelle;https://www.deutschestextarchiv.de/book/show/meissner_prinzessin_1882
20;Der Prophet;Amalie Schoppe;schoppe_prophet01_1846;1846;          Roman;https://www.deutschestextarchiv.de/book/show/schoppe_prophet01_1846
21;Der Prophet;Amalie Schoppe;schoppe_prophet02_1846;1846;          Roman;https://www.deutschestextarchiv.de/book/show/schoppe_prophet02_1846
22;Der Prophet;Amalie Schoppe;schoppe_prophet03_1846;1846;          Roman;https://www.deutschestextarchiv.de/book/show/schoppe_prophet03_1846
23;Letzte Gaben;Annette von Droste-Hülshoff;droste_letzte_1860;1860;"          Lyrik; Prosa";https://www.deutschestextarchiv.de/book/show/droste_letzte_1860
24;Die Judenbuche;Annette von Droste-Hülshoff;droste_judenbuche_1910;1910;          Novelle;https://www.deutschestextarchiv.de/book/show/droste_judenbuche_1910
