;title;author;filename;genre;sources
0;Armut, Reichtum, Schuld und Buße der Gräfin Dolores;Achim von Arnim;Arnim_Armut,Reichtum,SchuldundBußederGräfinDolores_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Arnim,+Ludwig+Achim+von/Romane/Armut,+Reichtum,+Schuld+und+Bu%C3%9Fe+der+Gr%C3%A4fin+Dolores
1;Die Kronenwächter;Achim von Arnim;Arnim_DieKronenwächter_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Arnim,+Ludwig+Achim+von/Romane/Die+Kronenw%C3%A4chter
2;Der Wintergarten;Achim von Arnim;Arnim_DerWintergarten_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Arnim,+Ludwig+Achim+von/Erz%C3%A4hlungen/Der+Wintergarten
3;Isabella von Ägypten;Achim von Arnim;Arnim_IsabellavonÄgypten_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Arnim,+Ludwig+Achim+von/Erz%C3%A4hlungen/Isabella+von+%C3%84gypten
4;Die drei liebreichen Schwestern und der glückliche Färber;Achim von Arnim;Arnim_DiedreiliebreichenSchwesternundderglücklicheFärber_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Arnim,+Ludwig+Achim+von/Erz%C3%A4hlungen/Die+drei+liebreichen+Schwestern+und+der+gl%C3%BCckliche+F%C3%A4rber
5;Der tolle Invalide auf dem Fort Ratonneau;Achim von Arnim;Arnim_DertolleInvalideaufdemFortRatonneau_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Arnim,+Ludwig+Achim+von/Erz%C3%A4hlungen/Der+tolle+Invalide+auf+dem+Fort+Ratonneau
6;Die Majoratsherren;Achim von Arnim;Arnim_DieMajoratsherren_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Arnim,+Ludwig+Achim+von/Erz%C3%A4hlungen/Die+Majoratsherren
7;Jungfer Mutter;Ada Christen, eigentlich Christiane von Breden;Breden_JungferMutter_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Christen,+Ada/Roman/Jungfer+Mutter
8;Käthes Federhut;Ada Christen, eigentlich Christiane von Breden;Breden_KäthesFederhut_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Christen,+Ada/Erz%C3%A4hlungen/K%C3%A4thes+Federhut
9;Rahel;Ada Christen, eigentlich Christiane von Breden;Breden_Rahel_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Christen,+Ada/Erz%C3%A4hlungen/Rahel
10;Der einsame Spatz;Ada Christen, eigentlich Christiane von Breden;Breden_DereinsameSpatz_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Christen,+Ada/Erz%C3%A4hlungen/Der+einsame+Spatz
11;Nachbar Krippelmacher;Ada Christen, eigentlich Christiane von Breden;Breden_NachbarKrippelmacher_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Christen,+Ada/Erz%C3%A4hlungen/Nachbar+Krippelmacher
12;Als er heimkehrte;Ada Christen, eigentlich Christiane von Breden;Breden_Alserheimkehrte_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Christen,+Ada/Erz%C3%A4hlungen/Als+er+heimkehrte
13;Der Nachsommer;Adalbert Stifter;Stifter_DerNachsommer_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Stifter,+Adalbert/Romane/Der+Nachsommer
14;Witiko;Adalbert Stifter;Stifter_Witiko_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Stifter,+Adalbert/Romane/Witiko
15;Studien;Adalbert Stifter;Stifter_Studien_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Stifter,+Adalbert/Erz%C3%A4hlungen/Studien
16;Bunte Steine;Adalbert Stifter;Stifter_BunteSteine_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Stifter,+Adalbert/Erz%C3%A4hlungen/Bunte+Steine
17;Nachkommenschaften;Adalbert Stifter;Stifter_Nachkommenschaften_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Stifter,+Adalbert/Erz%C3%A4hlungen/Nachkommenschaften
18;Der Waldbrunnen;Adalbert Stifter;Stifter_DerWaldbrunnen_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Stifter,+Adalbert/Erz%C3%A4hlungen/Der+Waldbrunnen
19;Der Kuß von Sentze;Adalbert Stifter;Stifter_DerKußvonSentze_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Stifter,+Adalbert/Erz%C3%A4hlungen/Der+Ku%C3%9F+von+Sentze
20;Der fromme Spruch;Adalbert Stifter;Stifter_DerfrommeSpruch_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Stifter,+Adalbert/Erz%C3%A4hlungen/Der+fromme+Spruch
21;Adelberts Fabel;Adelbert von Chamisso;Chamisso_AdelbertsFabel_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Chamisso,+Adelbert+von/Erz%C3%A4hlungen/Adelberts+Fabel
22;Peter Schlemihls wundersame Geschichte;Adelbert von Chamisso;Chamisso_PeterSchlemihlswundersameGeschichte_zeno.txt;Erzählung;http://www.zeno.org/Literatur/M/Chamisso,+Adelbert+von/Erz%C3%A4hlungen/Peter+Schlemihls+wundersame+Geschichte
23;Anna;Adele Schopenhauer;Schopenhauer_Anna_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Schopenhauer,+Adele/Roman/Anna
24;Benjamin Noldmanns Geschichte der Aufklärung in Abyssinien;Adolph Freiherr Knigge;Knigge_BenjaminNoldmannsGeschichtederAufklärunginAbyssinien_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Knigge,+Adolph+Freiherr+von/Romane/Benjamin+Noldmanns+Geschichte+der+Aufkl%C3%A4rung+in+Abyssinien
25;Josephs von Wurmbrands ... politisches Glaubensbekenntnis;Adolph Freiherr Knigge;Knigge_JosephsvonWurmbrandspolitischesGlaubensbekenntnis_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Knigge,+Adolph+Freiherr+von/Romane/Josephs+von+Wurmbrands+...+politisches+Glaubensbekenntnis
26;Die Reise nach Braunschweig;Adolph Freiherr Knigge;Knigge_DieReisenachBraunschweig_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Knigge,+Adolph+Freiherr+von/Romane/Die+Reise+nach+Braunschweig
27;Die Zerissenen;Alexander von Ungern-Sternberg;Ungern-Sternberg_DieZerissenen_zeno.txt;Roman;http://www.zeno.org/Literatur/M/Ungern-Sternberg,+Alexander+von/Roman/Die+Zerissenen
