	title	author	filename	genre	sources
0	Der Kinderball	Abraham Emanuel Fröhlich	Fröhlich_DerKinderball_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/froehlia/kinderba/kinderba.html
1	Die Verschüttung im Hauenstein	Abraham Emanuel Fröhlich	Fröhlich_DieVerschüttungimHauenstein_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/froehlia/hauenste/hauenste.html
2	Erzählungen	Achim von Arnim	Arnim_Erzählungen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/arnim/erzaehlg/erzaehlg.html
3	verschiedene Novellen	Achim von Arnim	Arnim_verschiedeneNovellen_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/arnim/novellen/arnimnov.html
4	Bunte Steine	Adalbert Stifter	Stifter_BunteSteine_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/stifter/buntestn/buntestn.html
5	Der heilige Abend	Adalbert Stifter	Stifter_DerheiligeAbend_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/stifter/hlabend/hlabend.html
6	Der Kuss von Sentze	Adalbert Stifter	Stifter_DerKussvonSentze_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/stifter/sentze/sentze.html
7	Der Nachsommer	Adalbert Stifter	Stifter_DerNachsommer_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/stifter/nachsomm/nachsomm.html
8	Nachkommenschaften	Adalbert Stifter	Stifter_Nachkommenschaften_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/stifter/nachkomm/nachkomm.html
9	Prokopus	Adalbert Stifter	Stifter_Prokopus_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/stifter/prokopus/prokopus.html
10	Witiko	Adalbert Stifter	Stifter_Witiko_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/stifter/witiko/witiko.html
11	Bauerngeselchtes	Adam Karrillon	Karrillon_Bauerngeselchtes_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/karrillo/geselcht/geselcht.html
12	Die Mühle zu Husterloh	Adam Karrillon	Karrillon_DieMühlezuHusterloh_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/karrillo/huster/huster.html
13	Michael Hely	Adam Karrillon	Karrillon_MichaelHely_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/karrillo/michhely/michhely.html
14	O Domina mea	Adam Karrillon	Karrillon_ODominamea_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/karrillo/odomina/odomina.html
15	Der große Schwabenzug	Adam Müller-Guttenbrunn	Müller-Guttenbrunn_DergroßeSchwabenzug_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/muellera/schwaben/schwaben.html
16	Die Glocken der Heimat	Adam Müller-Guttenbrunn	Müller-Guttenbrunn_DieGlockenderHeimat_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/muellera/glocken/glocken.html
17	Meister Jakob und seine Kinder	Adam Müller-Guttenbrunn	Müller-Guttenbrunn_MeisterJakobundseineKinder_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/muellera/jakob/jakob.html
18	Schlitzwang	Adolf Glaser, Pseudonym Rainald Reimar	Reimar_Schlitzwang_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/glaser/schlitzw/schlitzw.html
19	Wulfhilde	Adolf Glaser, Pseudonym Rainald Reimar	Reimar_Wulfhilde_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/glaser/wulfhild/wulfhild.html
20	Der jung Münch Ylsan	Adolf Pichler	Pichler_DerjungMünchYlsan_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/pichler/ylsan/ylsan.html
21	Der lateinische Bauer	Adolf Pichler	Pichler_DerlateinischeBauer_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/pichler/latbauer/latbauer.html
22	Die Brautnacht	Adolf Pichler	Pichler_DieBrautnacht_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/pichler/brautnac/brautnac.html
23	Frau Elsa	Adolf Pichler	Pichler_FrauElsa_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/pichler/elsa/elsa.html
24	Herr Rochus	Adolf Pichler	Pichler_HerrRochus_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/pichler/rochus/rochus.html
25	Janos und Jonas	Adolf Pichler	Pichler_JanosundJonas_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/pichler/janos/janos.html
26	Letzte Alpenrosen	Adolf Pichler	Pichler_LetzteAlpenrosen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/pichler/alpenros/alpenros.html
27	Der Wille zum Leben/Untrennbar	Adolf Wilbrandt	Wilbrandt_DerWillezumLebenUntrennbar_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/wilbrand/untrenn/untrenn.html
28	Hermann Ifinger	Adolf Wilbrandt	Wilbrandt_HermannIfinger_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/wilbrand/hermann/hermann.html
29	Benjamin Noldmanns Geschichte der Aufklärung in Abyssinien	Adolph Freiherr Knigge	Knigge_BenjaminNoldmannsGeschichtederAufklärunginAbyssinien_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/knigge/noldmann/noldmann.html
30	Die Schwingen des Lebens	Agnes Franz	Franz_DieSchwingendesLebens_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/franz/schwinge/schwinge.html
31	Die Heilige und ihr Narr, Band 1	Agnes Günther	Günther_DieHeiligeundihrNarrBand1_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/guenthea/heilige1/heilige1.html
32	Die Heilige und ihr Narr, Band 2	Agnes Günther	Günther_DieHeiligeundihrNarrBand2_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/guenthea/heilige2/heilige2.html
33	Das kleine Dummerle und andere Erzählungen	Agnes Sapper	Sapper_DaskleineDummerleundandereErzählungen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/sapper/dummerle/dummerle.html
34	Für kleine Mädchen	Agnes Sapper	Sapper_FürkleineMädchen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/sapper/kleimaed/kleimaed.html
35	Friedemann Bach	Albert Emil Brachvogel	Brachvogel_FriedemannBach_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/brachvog/bach/bach.html
36	Oberst von Steuben – des großen Königs Adjutant	Albert Emil Brachvogel	Brachvogel_OberstvonSteuben–desgroßenKönigsAdjutant_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/brachvog/steuben/steuben.html
37	Vater Milon und andere Erzählungen	Alexander von Oppeln-Bronikowski	Oppeln-Bronikowski_VaterMilonundandereErzählungen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/maupassa/milon/milon.html
38	Vierter Theil: Elf Novellen	Alexander von Ungern-Sternberg	Ungern-Sternberg_VierterTheilElfNovellen_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/ungern/novelle4/novelle4.html
39	Der Flurschütz	Alfred Bock	Bock_DerFlurschütz_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/bock/flursch/flursch.html
40	Die Prinzessin von Portugal	Alfred Meißner	Meißner_DiePrinzessinvonPortugal_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/meissner/portugal/portugal.html
41	Lord Byron	Alfred Schirokauer	Schirokauer_LordByron_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/schiroka/byron/byron.html
42	Die Bräutigame der Babette Bomberling	Alice Berend	Berend_DieBräutigamederBabetteBomberling_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/berend/bomberlg/bomberlg.html
43	Frau Hempels Tochter	Alice Berend	Berend_FrauHempelsTochter_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/berend/hempelst/hempelst.html
44	Bei uns zu Lande auf dem Lande	Annette von Droste-Hülshoff	Droste-Hülshoff_BeiunszuLandeaufdemLande_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/droste/zulande/zulande.html
45	Der Familienschild	Annette von Droste-Hülshoff	Droste-Hülshoff_DerFamilienschild_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/schueckg/familien/familien.html
46	Die Finsternis und ihr Eigentum	Anton von Perfall	Perfall_DieFinsternisundihrEigentum_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/perfall/finstern/finstern.html
47	Klippen	Anton von Perfall	Perfall_Klippen_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/perfall/klippen/klippen.html
48	Das Schloß im Moor	Arthur Achleitner	Achleitner_DasSchloßimMoor_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/achleitn/moor/moor.html
49	Der Finanzer	Arthur Achleitner	Achleitner_DerFinanzer_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/achleitn/finanzer/finanzer.html
50	Die Dobratschrose	Arthur Achleitner	Achleitner_DieDobratschrose_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/achleitn/dobratsc/dobratsc.html
51	Familie Lugmüller	Arthur Achleitner	Achleitner_FamilieLugmüller_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/achleitn/lugmuell/lugmuell.html
52	Clemens und seine Mädchen	Arthur Kahane	Kahane_ClemensundseineMädchen_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/kahane/clemens/clemens.html
53	Der Schauspieler	Arthur Kahane	Kahane_DerSchauspieler_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/kahane/schauspi/schauspi.html
