,Name,birth,death
0,Thomas Abbt ,1738,1766
1,"Bernhard Abeken, Pseudonym Ernst Andolt ",1826,1901
2,Hans Karl Abel ,1876,1951
3,Franz Heinrich Achermann ,1881,1946
4,Arthur Achleitner ,1858,1927
5,Wilhelm August Ackermann ,1793,1865
6,Engelbert Adam ,1850,1919
7,Ernst Adam ,1879,1919
8,Karl Adam ,1849,1916
9,Friedrich Wilhelm Adami ,1816,1893
10,Leonhard Adelt ,1881,1945
11,Johann Christoph Adelung ,1732,1806
12,Hans Adler ,1880,1957
13,Paul Adler ,1878,1946
14,Eufemia von Adlersfeld-Ballestrem ,1854,1941
15,Karl Adolph ,1869,1931
16,Rudolf Adolph ,1900,1984
17,Brigitte Adolphsen ,1883,1968
18,Alphons Aeby ,1885,1941
19,Hermann Aellen ,1887,1939
20,Luise Ahlborn ,1834,1921
21,Charlotte von Ahlefeld ,1781,1849
22,Gerhard Aichinger ,1900,1978
23,"Alastair, eigentlich Hans-Henning von Voigt ",1887,1969
24,"Paul Albers, ",1852,1929
25,"L. Albert, eigentlich Albert Ludwig Herrmann ",1886,1945
26,Michael Albert ,1836,1893
27,"Conrad Alberti, eigentlich Sittenfeld ",1862,1918
28,Erwin F. B. Albrecht ,1897,1971
29,Hermann Anton Albrecht ,1835,1906
30,Johann Friedrich Ernst Albrecht ,1752,1814
31,"Paul Albrecht, Pseudonym Hans Hardt ",1863,1935
32,Sophie Albrecht ,1757,1840
33,"Willibald Alexis, eigentlich Georg Wilhelm Heinrich Häring ",1798,1871
34,Luise Algenstaedt ,1861,1947
35,Hermann Allmers ,1821,1902
36,Otto Alscher ,1880,1944
37,"Peter Altenberg, eigentlich Richard Engländer ",1859,1919
38,Peter Paul Althaus ,1892,1965
39,Theodor Althaus ,1822,1852
40,Matthias Altmann ,1790,1880
41,Karl Altrichter ,1844,1917
42,Ludwig von Alvensleben ,1800,1868
43,Paul Alverdes ,1897,1979
44,Elisabeth Aman ,1888,1966
45,Gustinus Ambrosi ,1893,1975
46,"Gerhard Amyntor, eigentlich Dagobert von Gerhardt ",1831,1910
47,Marie Andrae-Romanek ,1854,1945
48,Wilhelm Andreae ,1822,1872
49,Fred Andreas ,1898,1975
50,Lou Andreas-Salomé ,1861,1937
51,Eduard Andrés ,1900,1972
52,Andreas Andresen ,1828,1871
53,Leopold Andrian ,1875,1951
54,Ernst Angel ,1894,1986
55,Walter Angel ,1883,1954
56,"August Angenetter, Pseudonym Alpha ",1876,1944
57,Fred A. Angermayer ,1889,1951
58,Hedwig Anneler ,1888,1969
59,Albert Otto Anschütz ,1890,1945
60,Otto Anthes ,1867,1954
61,Oskar Anwand ,1872,1946
62,Johann Nepomuk Anzengruber ,1810,1844
63,Ludwig Anzengruber ,1839,1889
64,August Apel ,1771,1816
65,Theodor Apel ,1811,1867
66,Bruno Apitz ,1900,1979
67,Johann Conrad Appenzeller ,1775,1850
68,"Kurt Aram, eigentlich Hans Fischer ",1869,1934
69,Bernard Arens ,1873,1954
70,Wilhelm Arent ,1864,1913
