ID	Voller_Name	Nachname	Vorname	Geburtsjahr	Todesjahr	Nationalität	Geschlecht	Gutenberg	Zeno	DTA	WikiSource	Kolimo+	Anmerkung
1	Abraham Emanuel Fröhlich			1796	1865	CHE	m	https://www.projekt-gutenberg.org/autoren/namen/froehlia.html			https://de.wikisource.org/wiki/Abraham_Emanuel_Fr%C3%B6hlich		
2	Achim von Arnim	von Arnim	Achim	1781	1831	DEU	m	https://www.projekt-gutenberg.org/autoren/namen/arnim.html	http://www.zeno.org/Literatur/M/Arnim,+Ludwig+Achim+von	https://www.deutschestextarchiv.de/api/pnd/118504177	https://de.wikisource.org/wiki/Achim_von_Arnim		
3	Ada Christen, eigentlich Christiane von Breden			1844	1901	AUT	f		http://www.zeno.org/Literatur/M/Christen,+Ada		https://de.wikisource.org/wiki/Ada_Christen		
4	Ada von Gersdorff			1854	1922	DEU	f						
5	Adalbert Stifter			1805	1868	AUT	m	https://www.projekt-gutenberg.org/autoren/namen/stifter.html	http://www.zeno.org/Literatur/M/Stifter,+Adalbert	https://www.deutschestextarchiv.de/api/pnd/118618156	https://de.wikisource.org/wiki/Adalbert_Stifter		
6	Adam Heinrich Müller			1779	1829	DEU	m	https://www.projekt-gutenberg.org/autoren/namen/muellr-a.html		https://www.deutschestextarchiv.de/api/pnd/118584790			
7	Adam Hörber			1827	1905	DEU	m						
8	Adam Josef Cüppers			1850	1936	nan	m						
9	Adam Karrillon			1853	1938	DEU	m	https://www.projekt-gutenberg.org/autoren/namen/karrillo.html					
10	Adam Müller-Guttenbrunn			1852	1923	AUT	m	https://www.projekt-gutenberg.org/autoren/namen/muellera.html					nazi
11	Adam Trabert			1822	1914	DEU	m						
12	Adam Weise			1776	1835	DEU	m						
13	Adelbert von Chamisso			1781	1838	DEU	m	https://www.projekt-gutenberg.org/autoren/namen/chamisso.html	http://www.zeno.org/Literatur/M/Chamisso,+Adelbert+von	https://www.deutschestextarchiv.de/api/pnd/118520040	https://de.wikisource.org/wiki/Adelbert_von_Chamisso		
14	Adele Schopenhauer			1797	1849	DEU	f	https://www.projekt-gutenberg.org/autoren/namen/schopead.html	http://www.zeno.org/Literatur/M/Schopenhauer,+Adele		https://de.wikisource.org/wiki/Adele_Schopenhauer		
15	Adelheid Eberhardt-Bürck			1836	1914	DEU	f						
16	Adelheid Reinbold			1800	1839	DEU	f			https://www.deutschestextarchiv.de/api/pnd/119420147			
17	Adelheid von Schorn			1841	1916	DEU	f	https://www.projekt-gutenberg.org/autoren/namen/schorn.html					
18	Adelheid von Stolterfoth			1800	1875	DEU	f				https://de.wikisource.org/wiki/Adelheid_von_Stolterfoth		
19	Adelheid Weber			1851	1923	nan	f						
20	Adeline zu Rantzau			1867	1927	DEU	f						
21	Adolf Bäuerle			1786	1859	AUT	m	https://www.projekt-gutenberg.org/autoren/namen/baeuerle.html	http://www.zeno.org/Literatur/M/B%C3%A4uerle,+Adolf		https://de.wikisource.org/wiki/Adolf_B%C3%A4uerle		
22	Adolf Follen			1794	1855	DEU	m				https://de.wikisource.org/wiki/Adolf_Ludwig_Follen		
